time,action,symbol,type,price,sol_amount,token_amount,mc,pnl_pct,tx_hash
2026-02-02T01:37:21.872668,BUY,WHITEHORSE,QUICK,2.197e-05,0.01,32554871222,21978.0,,5v3nFGPoJCGLhRPfLXnf82k4AQwo2BTVcayNVR5MN4jLRH9UCedm5dEtLepFBZuvxur6xWKZWVYonyBQcm8HN8T2
2026-02-02T01:37:55.802039,BUY,cap,GEM,4.187e-05,0.01,19446040771,41670.0,,3UzjA7Uj7mhCUiqpCTKEhfcwdVpmy8vpxfkJmRDM4PvCJVdrbcDhyicZkc4beqb4apBgntL895ieu1NSE21YjWtZ
2026-02-02T01:38:31.713815,BUY,IslandMan,QUICK,1.138e-05,0.0060850604249999985,57177331595,11380.0,,5juyRWJhTNUREN1r71X5RHvdV2RgqBbBMYNJheWDXRz36jsk3V1vFp9AoiDg5Ut2TyWA61cJfU7o7tpVUdBKNt8S
2026-02-02T01:41:58.894364,SELL,WHITEHORSE,QUICK,2.932e-05,0.01,32554871222,21978.0,33.5%,5njq6soX55oZj9pWcuB6A2vPmkaWVVpXLLDYAroBAqp6M7YCHqyR7fMY82mXdbj7crJkhiKDXMsCY6JVKSAfiH62
2026-02-02T01:42:29.995948,SELL,IslandMan,QUICK,1.24e-05,0.0060850604249999985,57177331595,11380.0,9.0%,4hMR1ZvqMHjogAoMqjKpqpD3aDXFG4nbC4fjE44afcVJ8pZJvVQwMJFQJwPRLn1cWEY6XSGAip3K6HA5X8tboeJJ
2026-02-02T01:42:34.965370,BUY,IslandMan,QUICK,1.24e-05,0.007581906816666664,74887850561,12410.0,,2KW7XbegdQMaVv7ceSLafCeYFfNo3guqeNjEZwGwuzDuvrd94rbt4y55PgsJQ72zJ28Bf5bqh3jouYHWdVmdMJ4F
2026-02-02T01:42:35.817034,BUY,WHITEHORSE,QUICK,2.53e-05,0.007581906816666664,23253180194,25308.0,,2PZjsiYNnVUf7d6NtfYJqxH6CKzSLDP1KqEiFc3kfwYM1FKGaKVLrafEX8yv4C5XEo2mtFYDxRm3FxassLhUWzvE
2026-02-02T01:43:01.187023,SELL,WHITEHORSE,QUICK,3.124e-05,0.007581906816666664,23253180194,25308.0,23.5%,5Dmusbm2vtY4eBpvxwrrGQKZYpcVLBLGdNVRW3tyHny1QPUJaqo8McSK9QYNkj4FfZUxgoj1wFCVmLkgGSc9YCj3
2026-02-02T01:43:32.243245,SELL,IslandMan,QUICK,9.977e-06,0.007581906816666664,74887850561,12410.0,-19.5%,3iZHbxrAtb4hdDLrbvnNKCxfCtkKKYiFKWmVt1YTmrVoBVKSXuEKbCEK1X1SXGrbyh7rSLU3CW3ZeC5tJNXykt1k
2026-02-02T01:43:44.210087,BUY,WHITEHORSE,QUICK,3.159e-05,0.00669555515,22425461945,31592.0,,648s8RgdF8wd8tm4QG7KqR9NFmYW746TjwienUe83CsuCTBhiLEDEhr4vNzu9PKAV98BpGp9WH85T2WmDKcmbWaF
2026-02-02T01:44:33.382559,SELL,WHITEHORSE,QUICK,2.727e-05,0.00669555515,22425461945,31592.0,-13.7%,4EPEt6K6EDM3CqydMZGsCriCk2XmBQJFDhivz2Qx2RD8T7qM4Z4ya8Es2eY5UA6gokXXErHhF2q2NLWfxhe135eX
2026-02-02T01:44:53.160202,BUY,IslandMan,QUICK,1.361e-05,0.006928605883333332,48802416402,13617.0,,5rJX8NvwzqPMGjkHsjW6MTeLLJ3FKHBtqRMK6PAFF2yAH8iX3PnXdeTV3UF5j8pW8vQkPnUSWUW6xYbLihbdgntN
2026-02-02T01:45:27.693634,BUY,WHITEHORSE,QUICK,3.006e-05,0.006855503333333334,25668624873,30065.0,,34Cu4gh8VdHNc3FD65VWcL9Ft6HjwwyFkmUf7SnpDTei3cvrrWe479u9uNqiBi4S6mYLLLUAJaDUeFZ1kxGYxfj3
